"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","HandCuff","PepperSpray","Firearm","Other","CEW","Stopped","Verbal","Summons"
"8259","Male","White",2005,18,"Other",0,0,0,0,0,0,0,0,2,0,0
"15566","Male","Black",2005,18,"Substance",0,1,0,0,0,0,0,0,2,0,0
"15567","Male","Hispanic",2005,18,"Substance",0,0,0,0,0,0,0,0,1,0,0
"15568","Male","White",2005,18,"Substance",0,1,0,0,0,0,0,0,1,0,0
"23168","Female","Black",2005,18,"Theft",0,0,0,0,0,0,0,0,2,0,0
"23169","Male","Black",2005,18,"Theft",0,1,0,0,0,0,0,0,6,0,0
"23170","Male","Hispanic",2005,18,"Theft",0,1,0,0,0,0,0,0,3,0,0
"23171","Male","Other",2005,18,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23172","Unknown","Other",2005,18,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23173","Female","White",2005,18,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23174","Male","White",2005,18,"Theft",0,1,0,0,0,0,0,0,5,0,0
"39825","Male","Black",2005,18,"Weapon",0,4,0,0,0,3,6,0,7,0,1
"39826","Female","Hispanic",2005,18,"Weapon",0,0,0,0,0,0,0,0,3,0,0
"39827","Male","Hispanic",2005,18,"Weapon",0,8,0,0,0,0,2,0,8,0,0
"39828","Female","Other",2005,18,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"39829","Male","Other",2005,18,"Weapon",0,0,0,0,0,0,1,0,3,0,0
"39830","Unknown","Other",2005,18,"Weapon",0,1,1,0,0,0,0,0,1,0,0
"39831","Female","White",2005,18,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"39832","Male","White",2005,18,"Weapon",0,9,1,0,0,0,1,0,11,0,0
"8367","Male","Hispanic",2005,19,"Other",0,1,0,0,0,0,0,0,2,0,0
"23297","Male","Black",2005,19,"Theft",0,2,0,0,0,0,0,0,3,0,0
"23298","Male","Hispanic",2005,19,"Theft",0,0,0,0,0,0,0,0,1,0,0
"23299","Unknown","Other",2005,19,"Theft",0,0,0,0,0,0,0,0,1,0,0
"32741","Female","Black",2005,19,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32742","Male","Black",2005,19,"Tresspass",0,0,0,0,0,0,1,0,3,0,0
"32743","Male","Hispanic",2005,19,"Tresspass",0,1,0,0,0,0,1,0,2,0,0
"32744","Male","White",2005,19,"Tresspass",0,0,0,0,0,0,0,0,1,0,1
"39931","Male","White",2005,19,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"1150","Female","Black",2005,20,"Assault",0,0,0,0,0,0,3,0,3,0,0
"1151","Male","Black",2005,20,"Assault",0,0,0,0,0,0,0,0,1,0,0
"1152","Unknown","Black",2005,20,"Assault",0,0,0,0,0,0,1,0,1,0,0
"1153","Female","Hispanic",2005,20,"Assault",0,1,0,0,0,0,0,0,1,0,0
"1154","Male","Hispanic",2005,20,"Assault",0,3,0,0,0,0,0,0,5,0,1
"1155","Unknown","Hispanic",2005,20,"Assault",0,1,1,0,0,0,1,0,1,0,0
"1156","Unknown","Other",2005,20,"Assault",0,2,2,0,0,0,3,0,3,0,0
"1157","Female","White",2005,20,"Assault",0,0,0,0,0,0,0,0,2,0,0
"1158","Male","White",2005,20,"Assault",0,1,0,0,0,0,0,0,2,0,0
"8480","Male","Black",2005,20,"Other",1,1,1,1,0,0,1,0,2,0,0
"8481","Female","Hispanic",2005,20,"Other",0,0,0,0,0,0,0,0,1,0,0
"8482","Male","Hispanic",2005,20,"Other",0,0,0,0,0,0,0,0,3,0,0
"8483","Male","Other",2005,20,"Other",0,0,0,0,0,0,0,0,2,0,0
"8484","Female","White",2005,20,"Other",0,0,0,0,0,0,0,0,6,0,0
"8485","Male","White",2005,20,"Other",0,0,0,0,0,0,0,0,2,0,0
"15739","Male","Black",2005,20,"Substance",0,0,0,0,0,0,0,0,1,0,0
"23437","Female","Black",2005,20,"Theft",0,0,0,0,0,0,1,0,2,0,1
"23438","Male","Black",2005,20,"Theft",1,9,2,1,0,0,3,0,34,0,1
"23439","Unknown","Black",2005,20,"Theft",0,0,0,0,0,0,0,0,2,0,0
"23440","Female","Hispanic",2005,20,"Theft",0,0,0,0,0,0,0,0,3,0,0
"23441","Male","Hispanic",2005,20,"Theft",0,4,1,0,0,0,1,0,21,0,1
"23442","Male","Other",2005,20,"Theft",0,2,0,0,0,0,0,0,5,0,0
"23443","Unknown","Other",2005,20,"Theft",0,2,0,0,0,0,1,0,9,0,0
"23444","Female","White",2005,20,"Theft",0,0,0,0,0,0,0,0,3,0,2
"23445","Male","White",2005,20,"Theft",0,3,0,1,0,0,0,0,38,0,2
"23446","Unknown","White",2005,20,"Theft",0,0,0,0,0,0,0,0,1,0,0
"32848","Male","Black",2005,20,"Tresspass",0,0,0,0,0,0,0,0,6,0,0
"32849","Female","Hispanic",2005,20,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32850","Male","Hispanic",2005,20,"Tresspass",0,0,0,0,0,0,0,0,4,0,0
"32851","Unknown","Other",2005,20,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"32852","Male","White",2005,20,"Tresspass",1,1,2,0,0,0,0,0,4,0,0
"40033","Male","Black",2005,20,"Weapon",0,3,0,0,0,0,2,0,3,0,0
"40034","Female","Hispanic",2005,20,"Weapon",0,0,0,0,0,0,0,0,1,0,0
"40035","Male","Hispanic",2005,20,"Weapon",0,1,0,0,0,0,1,0,2,0,0
"40036","Male","White",2005,20,"Weapon",0,2,1,1,0,1,1,0,2,0,0
"1330","Male","Hispanic",2005,23,"Assault",0,0,0,0,0,0,0,0,2,0,0
"1331","Male","White",2005,23,"Assault",0,0,0,0,0,0,0,0,1,0,0
"8657","Female","Black",2005,23,"Other",1,2,1,0,0,0,0,0,3,0,0
"8658","Male","Black",2005,23,"Other",1,3,1,0,0,0,0,0,3,0,0
"8659","Male","Hispanic",2005,23,"Other",0,1,0,0,0,0,0,0,1,0,0
"8660","Female","Other",2005,23,"Other",0,0,0,0,0,0,0,0,1,0,0
"8661","Male","Other",2005,23,"Other",0,1,0,0,0,0,0,0,1,0,0
"15906","Male","Black",2005,23,"Substance",1,10,2,3,0,0,1,0,14,0,3
"15907","Male","Hispanic",2005,23,"Substance",2,5,3,1,0,0,1,0,10,0,3
"15908","Male","Other",2005,23,"Substance",0,0,0,0,0,0,0,0,2,0,0
"15909","Unknown","Other",2005,23,"Substance",0,0,0,0,0,0,0,0,2,0,0
"15910","Male","White",2005,23,"Substance",1,1,1,1,0,0,0,0,2,0,1
"23669","Male","Black",2005,23,"Theft",0,6,1,0,0,1,1,0,12,0,0
"23670","Male","Hispanic",2005,23,"Theft",1,4,2,1,0,0,1,0,9,0,0
"23671","Male","Other",2005,23,"Theft",0,1,0,0,0,0,0,0,2,0,0
"23672","Male","White",2005,23,"Theft",0,0,0,0,0,0,0,0,1,0,0
"32963","Female","Black",2005,23,"Tresspass",1,1,1,0,0,0,2,0,12,0,0
"32964","Male","Black",2005,23,"Tresspass",9,16,9,4,0,0,22,0,78,0,6
"32965","Female","Hispanic",2005,23,"Tresspass",0,1,1,0,0,0,1,0,8,0,0
"32966","Male","Hispanic",2005,23,"Tresspass",9,15,11,8,1,0,13,0,50,0,1
"32967","Male","White",2005,23,"Tresspass",0,0,0,0,0,0,0,0,2,0,0
"40190","Male","Black",2005,23,"Weapon",0,22,1,0,0,3,12,0,24,0,3
"40191","Male","Hispanic",2005,23,"Weapon",2,13,2,1,0,1,8,0,18,0,3
"40192","Unknown","Hispanic",2005,23,"Weapon",0,2,0,0,0,0,2,0,2,0,0
"40193","Male","Other",2005,23,"Weapon",0,1,0,0,0,0,1,0,3,0,0
"40194","Unknown","Other",2005,23,"Weapon",0,3,1,0,0,0,2,0,4,0,1
"40195","Male","White",2005,23,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"8767","Male","Black",2005,24,"Other",0,0,0,0,0,0,0,0,5,0,0
"8768","Male","Hispanic",2005,24,"Other",0,0,0,0,0,0,0,0,2,0,0
